Country,Region,Happiness_Rank,Happiness_Score,GDP_Per_Capita,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Trust_On_Government,Generosity,Social_support
Tunisia,Middle East and Northern Africa,124,4.460999966,0.921000004,0.814999998,0.166999996,0.055,0.059,1
Bangladesh,Southern Asia,125,4.455999851,0.561999977,0.72299999,0.52700001,0.143000007,0.165999994,0.927999973
Iraq,Middle East and Northern Africa,126,4.436999798,1.042999983,0.574000001,0.240999997,0.089000002,0.148000002,0.980000019
Congo (Kinshasa),Sub-Saharan Africa,127,4.418000221,0.093999997,0.356999993,0.268999994,0.052999999,0.211999997,1.125
Mali,Sub-Saharan Africa,128,4.389999866,0.38499999,0.307999998,0.326999992,0.052000001,0.152999997,1.105000019
Sierra Leone,Sub-Saharan Africa,129,4.374000072,0.268000007,0.241999999,0.308999985,0.045000002,0.252000004,0.841000021
Sri Lanka,Southern Asia,130,4.366000175,0.949000001,0.83099997,0.469999999,0.046999998,0.244000003,1.264999986
Myanmar,Southeastern Asia,131,4.360000134,0.709999979,0.555000007,0.524999976,0.172000006,0.565999985,1.180999994
Chad,Sub-Saharan Africa,132,4.349999905,0.349999994,0.192000002,0.173999995,0.078000002,0.197999999,0.765999973
Ukraine,Central and Eastern Europe,133,4.331999779,0.819999993,0.739000022,0.178000003,0.01,0.187000006,1.389999986
Ethiopia,Sub-Saharan Africa,134,4.285999775,0.335999995,0.532000005,0.344000012,0.100000001,0.209000006,1.032999992
Swaziland,Sub-Saharan Africa,135,4.211999893,0.81099999,0,0.312999994,0.135000005,0.074000001,1.149000049
Uganda,Sub-Saharan Africa,136,4.18900013,0.331999987,0.442999989,0.356000006,0.059999999,0.252000004,1.069000006
Egypt,Middle East and Northern Africa,137,4.165999889,0.912999988,0.643999994,0.240999997,0.067000002,0.075999998,1.039000034
Zambia,Sub-Saharan Africa,138,4.106999874,0.578000009,0.425999999,0.430999994,0.086999997,0.246999994,1.057999969
Togo,Sub-Saharan Africa,139,4.085000038,0.275000006,0.409999996,0.293000013,0.085000001,0.177000001,0.572000027
India,Southern Asia,140,4.014999866,0.754999995,0.588,0.497999996,0.085000001,0.200000003,0.764999986
Liberia,Sub-Saharan Africa,141,3.974999905,0.072999999,0.442999989,0.370000005,0.033,0.232999995,0.921999991
Comoros,Sub-Saharan Africa,142,3.97300005,0.273999989,0.504999995,0.142000005,0.078000002,0.275000006,0.757000029
Madagascar,Sub-Saharan Africa,143,3.933000088,0.273999989,0.555000007,0.148000002,0.041000001,0.169,0.916000009
Lesotho,Sub-Saharan Africa,144,3.802000046,0.488999993,0.167999998,0.358999997,0.093000002,0.107000001,1.16900003
Burundi,Sub-Saharan Africa,145,3.775000095,0.046,0.379999995,0.219999999,0.180000007,0.175999999,0.446999997
Zimbabwe,Sub-Saharan Africa,146,3.663000107,0.365999997,0.432999998,0.361000001,0.089000002,0.150999993,1.113999963
Haiti,Latin America and Caribbean,147,3.596999884,0.323000014,0.449000001,0.026000001,0.109999999,0.419,0.688000023
Botswana,Sub-Saharan Africa,148,3.487999916,1.041000009,0.537999988,0.455000013,0.100000001,0.025,1.144999981
Syria,Middle East and Northern Africa,149,3.461999893,0.619000018,0.439999998,0.013,0.141000003,0.331,0.377999991
Malawi,Sub-Saharan Africa,150,3.410000086,0.191,0.495000005,0.442999989,0.089000002,0.217999995,0.560000002
Yemen,Middle East and Northern Africa,151,3.380000114,0.287,0.463,0.143000007,0.077,0.108000003,1.162999988
Rwanda,Sub-Saharan Africa,152,3.334000111,0.358999997,0.614000022,0.555000007,0.411000013,0.216999993,0.711000025
Tanzania,Sub-Saharan Africa,153,3.230999947,0.476000011,0.499000013,0.416999996,0.147,0.275999993,0.88499999
Afghanistan,Southern Asia,154,3.203000069,0.349999994,0.361000001,0,0.025,0.158000007,0.51700002
Central African Republic,Sub-Saharan Africa,155,3.082999945,0.026000001,0.104999997,0.224999994,0.035,0.234999999,0
South Sudan,Sub-Saharan Africa,156,2.852999926,0.305999994,0.294999987,0.01,0.090999998,0.202000007,0.574999988
